Make;Model;Variant;Start Year;End Year;Doors;Drivetrain;Body Type;Engine Size;Aspiration;Fuel Type;Transmission Type
Citroën;AX;;1986;1998;3-door/5-door;FWD;Hatchback;1.0L/1.1L/1.4L;Naturally Aspirated;Petrol/Diesel;4/5-Speed Manual
SEAT;Marbella;;1986;1998;3-door;FWD;Hatchback;843cc/903cc;Naturally Aspirated;Petrol;4/5-Speed Manual
Alfa Romeo;164;2.0 Twin Spark;1987;1998;4-door;FWD;Sedan;2.0L;Naturally Aspirated;Petrol;5-Speed Manual
Alfa Romeo;164;3.0 V6;1987;1998;4-door;FWD;Sedan;3.0L V6;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Auto
Isuzu;Rodeo;;1988;1998;2-door/4-door;RWD/4WD;Pickup;2.3L/2.6L/3.1L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Suzuki;Vitara;1st Gen (ET/TA);1988;1998;2-door/3-door/4-door/5-door;RWD/4WD;SUV/Convertible;1.6L/2.0L;Naturally Aspirated;Petrol/Diesel;5-Speed Manual/3/4-Speed Automatic
Isuzu;MU;;1989;1998;3-door;4WD;SUV;2.3L/2.6L/2.8L/3.1L/3.2L;Naturally Aspirated/Turbocharged;Petrol/Diesel;5-Speed Manual/4-Speed Automatic
Fiat;Tempra;;1990;1998;4-door/5-door;FWD;Sedan/Wagon;1.4L/1.6L/1.8L/2.0L/1.9L;Naturally Aspirated/Turbocharged;Petrol/Diesel;5-Speed Manual/4-Speed Automatic
Isuzu;Wizard;;1990;1998;5-door;4WD;SUV;2.3L/2.6L/3.1L/3.2L;Naturally Aspirated;Petrol/Diesel;5-Speed Manual/4-Speed Automatic
Lamborghini;Diablo;;1990;1998;2-door;RWD;Coupe;5.7L;Naturally Aspirated;Petrol;5-Speed Manual
Volvo;940;GL;1990;1998;4-door/5-door;RWD;Sedan/Wagon;2.0L/2.3L;Naturally Aspirated/Turbocharged;Petrol;5-Speed Manual/4-Speed Automatic
Volvo;960;;1990;1998;4-door/5-door;RWD;Sedan/Wagon;2.9L;Naturally Aspirated;Petrol;4-Speed Automatic
Citroën;ZX;Aura/Volcane;1991;1998;3-door/5-door;FWD;Hatchback/Estate;1.4L/1.6L/1.8L/1.9L;Naturally Aspirated;Petrol/Diesel;5-Speed Manual/4-Speed Auto
Mazda;MX-3;EC 1.8 V6;1991;1998;2-door;FWD;Coupe;1.8L;Naturally Aspirated;Petrol;5-Speed Manual
Mercedes-Benz;S-Class;W140;1991;1998;2-door/4-door;RWD;Sedan/Coupe;2.8L Inline 6 Cyl - 6.0L V12;Naturally Aspirated;Petrol/Diesel;4/5-Speed Automatic
Opel;Astra;F GSi;1991;1998;3-door;FWD;Hatchback;1.8L/2.0L;Naturally Aspirated;Petrol;5-Speed Manual
Opel;Frontera;A;1991;1998;3-door/5-door;4WD;SUV;2.0L/2.2L/2.4L/2.3L/2.8L;Naturally Aspirated/Turbocharged;Petrol/Diesel;5-Speed Manual
Renault;Clio;I 16V;1991;1998;3-door;FWD;Hatchback;1.8L;Naturally Aspirated;Petrol;5-Speed Manual
Suzuki;Cappuccino;;1991;1998;2-door;RWD;Roadster;657cc;Turbocharged;Petrol;5-Speed Manual/3-Speed Automatic
Volkswagen;Golf;Mk3 CL/GL;1991;1998;3-door/5-door;FWD;Hatchback;1.4L;Naturally Aspirated;Petrol;4/5-Speed Manual
Volkswagen;Golf;Mk3 CL/GL;1991;1998;3-door/5-door;FWD;Hatchback;1.6L;Naturally Aspirated;Petrol;4/5-Speed Manual/4-Speed Automatic
Volkswagen;Golf;Mk3 GL/GT;1991;1998;3-door/5-door;FWD;Hatchback;1.8L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Volkswagen;Golf;Mk3 GTI;1991;1998;3-door/5-door;FWD;Hatchback;2.0L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Volkswagen;Golf;Mk3 VR6;1991;1998;3-door/5-door;FWD;Hatchback;2.8L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Volkswagen;Golf;Mk3 D/TD/TDI;1991;1998;3-door/5-door;FWD;Hatchback;1.9L;Naturally Aspirated/Turbocharged;Diesel;5-Speed Manual/4-Speed Automatic
Bentley;Brooklands;;1992;1998;4-door;RWD;Sedan;6.75L V8;Naturally Aspirated/Turbocharged;Petrol;4-Speed Automatic
Honda;CR-X del Sol;;1992;1998;2-door;FWD;TargaTop;1.5L/1.6L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Maserati;Ghibli;II;1992;1998;2-door;RWD;Coupe;2.0L/2.8L;Twin-Turbocharged;Petrol;5/6-Speed Manual/4-Speed Automatic
McLaren;F1;;1992;1998;2-door;RWD;Coupe;6.1L;Naturally Aspirated;Petrol;6-Speed Manual
Nissan;Quest;V40;1992;1998;4-door;FWD;Minivan;3.0L;Naturally Aspirated;Petrol;4-Speed Automatic
Subaru;Vivio;;1992;1998;3-door/5-door;FWD/AWD;Hatchback;660cc;Naturally Aspirated/Supercharged;Petrol;5-Speed Manual/3-Speed Auto/ECVT
Volkswagen;Vento;CL/GL;1992;1998;4-door;FWD;Sedan;1.6L/1.8L/2.0L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Volkswagen;Vento;VR6;1992;1998;4-door;FWD;Sedan;2.8L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Volkswagen;Vento;D/TD/TDI;1992;1998;4-door;FWD;Sedan;1.9L;Naturally Aspirated/Turbocharged;Diesel;5-Speed Manual
Hyundai;Sonata;Y3;1993;1998;4-door;FWD;Sedan;1.8L/2.0L/3.0L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Jeep;Grand Cherokee;ZJ Laredo;1993;1998;4-door;RWD/4WD;SUV;4.0L/5.2L/5.9L;Naturally Aspirated;Petrol;4-Speed Automatic
Lamborghini;Diablo;VT;1993;1998;2-door;AWD;Coupe;5.7L;Naturally Aspirated;Petrol;5-Speed Manual
Nissan;Skyline;R33;1993;1998;2-door/4-door;RWD/AWD;Coupe/Sedan/Wagon;2.0L/2.5L/2.6L;Naturally Aspirated/Turbocharged/Twin-Turbo;Petrol;5-Speed Manual/4-Speed Automatic
Nissan;Sunny;B14;1993;1998;4-door;FWD;Sedan;1.3L/1.5L/1.6L/1.8L/2.0L;Naturally Aspirated;Petrol/Diesel;5-Speed Manual/4-Speed Automatic
Subaru;Legacy;2nd Gen (BD/BG) GT;1993;1998;4-door/5-door;AWD;Sedan/Wagon;2.5L/2.0L;Naturally Aspirated/Twin-Turbocharged;Petrol;5-Speed Manual/4-Speed Automatic
Toyota;Supra;A80 Twin Turbo Coupe;1993;1998;3-door;RWD;Coupe;3.00L;Twin-Turbo;Petrol;6-Speed Manual
Volkswagen;Golf;Mk3 Cabriolet;1993;1998;2-door;FWD;Convertible;1.6L/1.8L/2.0L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Daihatsu;Cuore;L501;1994;1998;3-door/5-door;FWD;Hatchback;847cc;Naturally Aspirated;Petrol;5-Speed Manual/3-Speed Automatic
Fiat;Cinquecento;Sporting;1994;1998;3-door;FWD;Hatchback;1.1L;Naturally Aspirated;Petrol;5-Speed Manual
Ford;Mustang;SN95 SVT Cobra;1994;1998;2-door;RWD;Coupe/Convertible;5.0L/4.6L;Naturally Aspirated;Petrol;5-Speed Manual
Land Rover;Discovery;1 (300Tdi);1994;1998;3-door/5-door;4WD;SUV;2.0L/2.5L/3.9L;Naturally Aspirated/Turbocharged;Petrol/Diesel;5-Speed Manual/4-Speed Automatic
Mazda;323;BA (Astina/Lantis) 2.0 V6;1994;1998;4-door/5-door;FWD;Sedan/Hatchback;2.0L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Nissan;Cefiro;A32;1994;1998;4-door;FWD;Sedan;2.0L/2.5L/3.0L;Naturally Aspirated;Petrol;4-Speed Automatic
Porsche;911;993 Carrera;1994;1998;2-door;RWD;Coupe/Cabriolet;3.6L;Naturally Aspirated;Petrol;6-Speed Manual/4-Speed Tiptronic
Suzuki;Alto;HA11;1994;1998;3-door/5-door;FWD/4WD;Hatchback;658cc;Naturally Aspirated/Turbocharged;Petrol;4/5-Speed Manual/3-Speed Automatic
Daihatsu;Move;L600;1995;1998;5-door;FWD/4WD;KeiCar;660cc;Naturally Aspirated/Turbocharged;Petrol;5-Speed Manual/3/4-Speed Automatic
Lamborghini;Diablo;VT Roadster;1995;1998;2-door;AWD;Roadster;5.7L;Naturally Aspirated;Petrol;5-Speed Manual
Nissan;240SX;S14;1995;1998;2-door;RWD;Coupe;2.4L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Porsche;911;993 Carrera 4;1995;1998;2-door;AWD;Coupe/Cabriolet;3.6L;Naturally Aspirated;Petrol;6-Speed Manual/4-Speed Tiptronic
Porsche;911;993 Turbo;1995;1998;2-door;AWD;Coupe;3.6L;Twin-Turbocharged;Petrol;6-Speed Manual
Porsche;911;993 GT2;1995;1998;2-door;RWD;Coupe;3.6L;Twin-Turbocharged;Petrol;6-Speed Manual
Rolls-Royce;Silver Dawn;;1995;1998;4-door;RWD;Sedan;6.8L;Naturally Aspirated;Petrol;4-Speed Automatic
Volvo;S90;3;1997;1998;4-door;RWD;Sedan;2.9L;Naturally Aspirated;Petrol;4-Speed Automatic
Volvo;V90;T6;1997;1998;5-door;RWD;Wagon;2.9L;Naturally Aspirated;Petrol;4-Speed Automatic
Subaru;Impreza;1st Gen (GC/GF/GM) 22B STi;1998;1998;2-door;AWD;Coupe;2.2L;Turbocharged;Petrol;5-Speed Manual
Ford;Taurus;SHO;1989;1999;4-door;FWD;Sedan;3.0L/3.2L/3.4L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
BMW;8 Series;E31 840i/850i;1990;1999;2-door;RWD;Coupe;4.0L V8/5.0L V12;Naturally Aspirated;Petrol;5/6-Speed Auto/6-Speed Manual
Mitsubishi;3000GT;VR-4;1990;1999;2-door;AWD;Coupe;3.0L;Twin-Turbocharged;Petrol;5/6-Speed Manual
Mitsubishi;GTO/3000GT;;1990;1999;2-door;FWD/AWD;Coupe;3.0L;Naturally Aspirated/Twin-Turbocharged;Petrol;5/6-Speed Manual/4-Speed Automatic
Toyota;MR2;SW20 Turbo Coupe;1990;1999;2-door;RWD;Coupe;2.00L;Turbocharged;Petrol;5-Speed Manual
Mitsubishi;Pajero;V20;1991;1999;3-door/5-door;4WD;SUV;2.4L-3.5L/2.5L-2.8L;Naturally Aspirated/Turbocharged;Petrol/Diesel;5-Speed Manual/4-Speed Automatic
SEAT;Toledo;1 (1L);1991;1999;5-door;FWD;LiftbackSedan;1.6L-2.0L/1.9L;Naturally Aspirated/Turbocharged;Petrol/Diesel;5-Speed Manual/4-Speed Automatic
BMW;M3;E36;1992;1999;2-door/4-door;RWD;Coupe/Sedan/Convertible;3.0L/3.2L Inline 6 Cyl;Naturally Aspirated;Petrol;5/6-Speed Manual/SMG I
Chevrolet;Suburban;(GMT400);1992;1999;4-door;RWD/4WD;SUV;5.7L V8/7.4L V8;Naturally Aspirated;Petrol/Diesel;4-Speed Automatic
Opel;MontereyA;;1992;1999;3-door/5-door;4WD;SUV;3.1L/3.2L;Turbocharged/Naturally Aspirated;Diesel/Petrol;5-Speed Manual/4-Speed Automatic
Aston Martin;Virage;V8 Vantage;1993;1999;2-door;RWD;Coupe;5.3L V8;Twin-Supercharged;Petrol;6-Speed Manual
Fiat;Punto;GT;1993;1999;3-door;FWD;Hatchback;1.4L;Turbocharged;Petrol;5-Speed Manual
Nissan;Silvia;S14;1993;1999;2-door;RWD;Coupe;2.0L/2.4L;Naturally Aspirated/Turbocharged;Petrol;5-Speed Manual/4-Speed Automatic
Volkswagen;Golf;Mk3 Variant (Estate);1993;1999;5-door;FWD/AWD;Wagon;1.4L/1.6L/1.8L/2.0L/1.9L TDI/2.9L VR6;Naturally Aspirated/Turbocharged;Petrol/Diesel;5-Speed Manual/4-Speed Automatic
Aston Martin;DB7;;1994;1999;2-door;RWD;Coupe;3.2L Inline 6 Cyl;Supercharged;Petrol;5-Speed Manual/4-Speed Auto
Ferrari;F355;Berlinetta;1994;1999;2-door;RWD;Berlinetta;3.5L;Naturally Aspirated;Petrol;6-Speed Manual/6-Speed F1
Honda;Odyssey;1st Gen;1994;1999;5-door;FWD/AWD;Minivan;2.2L/2.3L;Naturally Aspirated;Petrol;4-Speed Automatic
Hyundai;Accent;X3 LS;1994;1999;3-door/4-door/5-door;FWD;Coupe/Sedan/Hatchback;1.3L/1.5L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Kia;Avella;;1994;1999;3-door/4-door/5-door;FWD;Hatchback/Sedan;1.3L/1.5L;Naturally Aspirated;Petrol;5-Speed Manual/3/4-Speed Automatic
Nissan;200SX;S14;1994;1999;2-door;RWD;Coupe;2.0L;Turbocharged;Petrol;5-Speed Manual
Toyota;Avalon;XX10 XL Sedan;1994;1999;4-door;FWD;Sedan;3.00L;Naturally Aspirated;Petrol;4-Speed Automatic
Toyota;Celica;T200 GT Coupe;1994;1999;2-door;FWD;Coupe;2.20L;Naturally Aspirated;Petrol;4-Speed Automatic
BMW;3 Series;E36 328i;1995;1999;2-door/4-door;RWD;Sedan/Coupe/Convertible;2.8L Inline 6 Cyl;Naturally Aspirated;Petrol;5-Speed Manual/5-Speed Auto
Lamborghini;Diablo;SV;1995;1999;2-door;RWD;Coupe;5.7L;Naturally Aspirated;Petrol;5-Speed Manual
Mitsubishi;Eclipse;2G GSX;1995;1999;3-door;AWD;Coupe;2.0L;Turbocharged;Petrol;5-Speed Manual/4-Speed Automatic
Nissan;Cedric;Y33;1995;1999;4-door;RWD;Hardtop;2.0L/2.5L/3.0L;Naturally Aspirated/Turbocharged;Petrol;4-Speed Automatic
Nissan;Maxima;A32;1995;1999;4-door;FWD;Sedan;3.0L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Nissan;Sentra;B14;1995;1999;2-door/4-door;FWD;Coupe/Sedan;1.6L/2.0L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Aston Martin;DB7;Volante;1996;1999;2-door;RWD;Convertible;3.2L Inline 6 Cyl;Supercharged;Petrol;5-Speed Manual/4-Speed Auto
Isuzu;Oasis;;1996;1999;5-door;FWD;Minivan;2.2L/2.3L;Naturally Aspirated;Petrol;4-Speed Automatic
Kia;Elan;;1996;1999;2-door;FWD;Roadster;1.8L;Naturally Aspirated;Petrol;5-Speed Manual
Opel;Manta;;1996;1999;5-door;FWD;MPV;2.2L/3.0L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Mercedes-AMG;CLK-Class;CLK GTR;1998;1999;2-door;RWD;Coupe/Roadster;6.9L;Naturally Aspirated;Petrol;6-Speed Sequential
Fiat;126;;1980;2000;2-door;RWD;Hatchback;652cc/704cc;Naturally Aspirated;Petrol;4-Speed Manual
Fiat;Duna;;1987;2000;4-door/5-door;FWD;Sedan/Wagon;1.1L/1.3L/1.6L/1.7L;Naturally Aspirated;Petrol/Diesel;5-Speed Manual
Kia;Pride;Y;1987;2000;3-door/4-door/5-door;FWD;Hatchback/Sedan/Wagon;1.1L/1.3L;Naturally Aspirated;Petrol;4/5-Speed Manual/3-Speed Automatic
Chevrolet;C/K Pickup (GMT400);;1988;2000;2-door/3-door/4-door;RWD/4WD;Pickup;4.3L V6/5.0L V8/5.7L V8;Naturally Aspirated;Petrol/Diesel;5-Speed Manual/4-Speed Auto
Citroën;XM;;1989;2000;5-door;FWD;Hatchback/Estate;2.0L/2.1L TD/3.0L V6;Naturally Aspirated/Turbocharged;Petrol/Diesel;5-Speed Manual/4-Speed Auto
Daihatsu;Applause;16X;1989;2000;4-door;FWD;LiftbackSedan;1.6L;Naturally Aspirated;Petrol;5-Speed Manual/3/4-Speed Automatic
Lexus;LS;400;1989;2000;4-door;RWD;Sedan;4.0L;Naturally Aspirated;Petrol;4/5-Speed Automatic
BMW;3 Series;E36 318i/320i/325i;1990;2000;2-door/4-door;RWD;Sedan/Coupe/Convertible;1.8L/2.0L/2.5L;Naturally Aspirated;Petrol;5-Speed Manual/5-Speed Auto
Mini;Classic;Cooper;1990;2000;2-door;FWD;Sedan;1.3L;Naturally Aspirated;Petrol;4-Speed Manual
Mini;Classic;Cooper S;1990;2000;2-door;FWD;Sedan;1.3L;Naturally Aspirated;Petrol;4-Speed Manual
Volkswagen;Transporter;T4;1990;2000;2-door/3-door/4-door/5-door;FWD/AWD;Van/Minibus/Pickup;2.0L/2.5L/2.8L VR6/1.9L D/TD/2.4D/2.5TDI;Naturally Aspirated/Turbocharged;Petrol/Diesel;5-Speed Manual/4-Speed Automatic
Audi;Cabriolet;(Typ 8G);1991;2000;2-door;FWD;Convertible;1.8L/2.0L/2.3L/2.6L/2.8L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Auto
Lexus;SC;300/400;1991;2000;2-door;RWD;Coupe;3.0L/4.0L;Naturally Aspirated;Petrol;5-Speed Manual/4/5-Speed Automatic
Renault;Safrane;Baccara;1992;2000;5-door;FWD/AWD;Liftback;2.2L/3.0L;Naturally Aspirated/Twin-Turbo;Petrol;5-Speed Manual/4-Speed Automatic
Subaru;Impreza;1st Gen (GC/GF/GM) WRX;1992;2000;2-door/4-door/5-door;AWD;Coupe/Sedan/Wagon;2.0L;Turbocharged;Petrol;5-Speed Manual
Tata;Estate;;1992;2000;5-door;RWD;Wagon;1.9L;Naturally Aspirated;Diesel;5-Speed Manual
Mercedes-Benz;C-Class;W202;1993;2000;4-door;RWD;Sedan/Wagon;1.8L Inline 4 Cyl - 2.8L V6;Naturally Aspirated;Petrol/Diesel;4/5-Speed Auto/5-Speed Manual
Opel;Corsa;B GSI;1993;2000;3-door;FWD;Hatchback;1.6L;Naturally Aspirated;Petrol;5-Speed Manual
Alfa Romeo;145/146;1.6 Boxer/TS;1994;2000;3-door/5-door;FWD;Hatchback;1.6L Boxer/1.6L TS;Naturally Aspirated;Petrol;5-Speed Manual
Mitsubishi;FTO;GPX;1994;2000;2-door;FWD;Coupe;2.0L;Naturally Aspirated;Petrol;5-Speed Manual/5-Speed Tiptronic
Toyota;RAV4;XA10 3-Door SUV;1994;2000;3-door;AWD;SUV;2.00L;Naturally Aspirated;Petrol;5-Speed Manual
Volkswagen;Polo;Mk3 (6N) L/CL/GL;1994;2000;3-door/5-door;FWD;Hatchback;1.0L/1.3L/1.4L/1.6L;Naturally Aspirated;Petrol;4/5-Speed Manual/4-Speed Automatic
Alfa Romeo;145/146;2.0 Quadrifoglio/ti;1995;2000;3-door/5-door;FWD;Hatchback;2.0L;Naturally Aspirated;Petrol;5-Speed Manual
Chevrolet;Tahoe/Blazer;(GMT400);1995;2000;2-door/4-door;RWD/4WD;SUV;5.7L V8;Naturally Aspirated;Petrol/Diesel;4-Speed Automatic
Chrysler;Cirrus;;1995;2000;4-door;FWD;Sedan;2.4L Inline 4 Cyl/2.5L V6;Naturally Aspirated;Petrol;4-Speed Automatic
Chrysler;Sebring;;1995;2000;2-door;FWD;Coupe/Convertible;2.0L Inline 4 Cyl/2.5L V6;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Auto
Dodge;Avenger;;1995;2000;2-door;FWD;Coupe;2.0L/2.5L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Hyundai;Elantra;J2;1995;2000;4-door/5-door;FWD;Sedan/Wagon;1.5L/1.8L/2.0L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Mercedes-Benz;C-Class AMG;W202 C36/C43;1995;2000;4-door;RWD;Sedan/Wagon;3.6L Inline 6 Cyl/4.3L V8;Naturally Aspirated;Petrol;4/5-Speed Automatic
Nissan;Almera;N15;1995;2000;3-door/5-door;FWD;Hatchback;1.4L/1.6L/2.0L;Naturally Aspirated;Petrol/Diesel;5-Speed Manual/4-Speed Automatic
Nissan;Almera;N15;1995;2000;4-door;FWD;Sedan;1.4L/1.6L/2.0L;Naturally Aspirated;Petrol/Diesel;5-Speed Manual/4-Speed Automatic
Nissan;Pulsar;N15;1995;2000;3-door/5-door;FWD/AWD;Hatchback/Sedan;1.5L/1.6L/1.8L/2.0L;Naturally Aspirated;Petrol/Diesel;5-Speed Manual/4-Speed Automatic
Volkswagen;Polo;Classic/Variant;1995;2000;4-door/5-door;FWD;Sedan/Wagon;1.4L/1.6L/1.9L SDI/TDI;Naturally Aspirated/Turbocharged;Petrol/Diesel;5-Speed Manual/4-Speed Automatic
Volkswagen;Sharan;CL/GL/Carat;1995;2000;5-door;FWD/AWD;MPV;2.0L/1.8T/2.8L VR6/1.9L TDI;Naturally Aspirated/Turbocharged;Petrol/Diesel;5/6-Speed Manual/4-Speed Automatic
Volkswagen;Caddy;9K;1995;2000;2-door/3-door;FWD;Pickup/Van;1.4L/1.6L/1.9L D/SDI;Naturally Aspirated;Petrol/Diesel;5-Speed Manual
Chrysler;Voyager/Grand Voyager;(Gen 3);1996;2000;3-door/4-door;FWD/AWD;Minivan;2.4L Inline 4 Cyl/3.3L V6/3.8L V6;Naturally Aspirated;Petrol;3/4-Speed Automatic
Fiat;Coupé;20V Turbo;1996;2000;2-door;FWD;Coupe;2.0L;Turbocharged;Petrol;5-Speed Manual
Isuzu;Hombre;;1996;2000;2-door;RWD/4WD;Pickup;2.2L/4.3L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Isuzu;Vertex;;1996;2000;4-door;FWD;Sedan;1.6L/1.8L/2.0L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Proton;Tiara;;1996;2000;5-door;FWD;Hatchback;1.1L;Naturally Aspirated;Petrol;5-Speed Manual
Rolls-Royce;Silver Spirit;IV;1996;2000;4-door;RWD;Sedan;6.8L;Turbocharged (Opt);Petrol;4-Speed Automatic
Rolls-Royce;Silver Spur;IV;1996;2000;4-door;RWD;Sedan;6.8L;Turbocharged (Opt);Petrol;4-Speed Automatic
Volkswagen;Passat;B5.5 W8;2001;2004;4-door/5-door;4Motion;Sedan/Wagon;4.0L W8;Naturally Aspirated;Petrol;6-Speed Manual/5-Speed Tiptronic
Volkswagen;Golf;Mk4 R32;2002;2004;3-door/5-door;4Motion;Hatchback;3.2L VR6;Naturally Aspirated;Petrol;6-Speed Manual/6-Speed DSG
Volvo;S70;T5;1996;2000;4-door;FWD;Sedan;2.3L;Turbocharged;Petrol;5-Speed Manual/4-Speed Automatic
Volvo;V70;R AWD;1996;2000;5-door;AWD;Wagon;2.3L/2.4L;Turbocharged;Petrol;5-Speed Manual/4/5-Speed Automatic
AC;Ace;;1997;2000;2-door;RWD;Roadster;4.6L/5.0L;Naturally Aspirated/Supercharged;Petrol;5-Speed Manual/4-Speed Automatic
Honda;Civic;6th Gen EK9 Type R;1997;2000;3-door;FWD;Hatchback;1.6L;Naturally Aspirated;Petrol;5-Speed Manual
Mercedes-AMG;C-Class;C 43 AMG;1997;2000;4-door/5-door;RWD;Sedan/Wagon;4.3L;Naturally Aspirated;Petrol;5-Speed Automatic
Volkswagen;Golf;Mk4 S/SE/GTI;1997;2000;3-door/5-door;FWD;Hatchback;1.4L/1.6L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Volkswagen;Golf;Mk5 R32;2005;2008;3-door/5-door;4Motion;Hatchback;3.2L VR6;Naturally Aspirated;Petrol;6-Speed Manual/6-Speed DSG
Volkswagen;New Beetle;GL/GLS/GLX;1997;2000;2-door;FWD;Hatchback;2.0L/1.8T/1.9L TDI;Naturally Aspirated/Turbocharged;Petrol/Diesel;5-Speed Manual/4-Speed Automatic
Volvo;XC70;Cross Country;1997;2000;5-door;AWD;Wagon;2.4L;Turbocharged;Petrol;4-Speed Automatic
Bentley;Arnage;Green Label;1998;2000;4-door;RWD;Sedan;4.4L V8;Twin-Turbo;Petrol;5-Speed Automatic
Isuzu;Amigo;;1998;2000;2-door;RWD/4WD;SUV;2.2L/3.2L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Volkswagen;Golf;Mk4 GTI/V5;1998;2000;3-door/5-door;FWD;Hatchback;1.8L Turbo/2.3L V5;Turbocharged/Naturally Aspirated;Petrol;5-Speed Manual/5-Speed Tiptronic
Volkswagen;Phaeton;TDI;2002;2010;4-door;4Motion;Sedan;3.0L V6/5.0L V10;Turbocharged;Diesel;6-Speed Automatic
Volkswagen;Passat;B6 R36;2008;2010;4-door/5-door;4Motion;Sedan/Wagon;3.6L VR6;Naturally Aspirated;Petrol;6-Speed DSG
Volkswagen;Polo;Mk3 (6N) GTI;1998;2000;3-door;FWD;Hatchback;1.6L 16V;Naturally Aspirated;Petrol;5-Speed Manual
Volkswagen;Lupo;E/S/Sport;1998;2000;3-door;FWD;Hatchback;1.0L/1.4L/1.7L SDI;Naturally Aspirated;Petrol/Diesel;5-Speed Manual/4-Speed Automatic
Aston Martin;Virage;V8 Vantage Le Mans;1999;2000;2-door;RWD;Coupe;5.3L V8;Twin-Supercharged;Petrol;6-Speed Manual
Lamborghini;Diablo;GT;1999;2000;2-door;RWD;Coupe;6.0L;Naturally Aspirated;Petrol;5-Speed Manual
Volkswagen;Lupo;GTI;2000;2000;3-door;FWD;Hatchback;1.6L 16V;Naturally Aspirated;Petrol;6-Speed Manual
Mercedes-Benz;G-Class;W460/W461;1980;2001;2-door/4-door;4WD;SUV/Convertible;2.3L Inline 4 Cyl/2.8L Inline 6 Cyl/2.4L/2.5L/3.0L Diesel;Naturally Aspirated;Petrol/Diesel;4/5-Speed Manual
Jeep;Cherokee;XJ Sport;1984;2001;2-door/4-door;RWD/4WD;SUV;2.5L/2.8L/4.0L/2.1L/2.5L;Naturally Aspirated/Turbocharged;Petrol/Diesel;4/5-Speed Manual/3/4-Speed Automatic
Jeep;Cherokee;XJ Limited;1984;2001;4-door;RWD/4WD;SUV;4.0L;Naturally Aspirated;Petrol;4-Speed Automatic
Mercedes-Benz;SL-Class;R129;1989;2001;2-door;RWD;Convertible;3.0L Inline 6 Cyl - 6.0L V12;Naturally Aspirated;Petrol;4/5-Speed Auto/5-Speed Manual
Chevrolet;Lumina;;1990;2001;2-door/4-door;FWD;Coupe/Sedan;2.2L Inline 4 Cyl/3.1L V6/3.4L V6;Naturally Aspirated;Petrol;5-Speed Manual/3/4-Speed Auto
Ford;Explorer;Eddie Bauer;1991;2001;2-door/4-door;RWD/AWD;SUV;4.0L/5.0L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic/5-Speed Automatic
Kia;Potentia;;1992;2001;4-door;RWD;Sedan;2.0L/2.2L/3.0L;Naturally Aspirated;Petrol;5-Speed Manual/4-Speed Automatic
Mahindra;Armada;;1993;2001;3-door/5-door;RWD/4WD;SUV;2.1L/2.5L;Naturally Aspirated;Diesel;4/5-Speed Manual
Audi;A4;B5 (Typ 8D);1994;2001;4-door;FWD/Quattro;Sedan/Avant;1.6L/1.8L/1.8T/2.4L V6/2.6L V6;Naturally Aspirated/Turbocharged;Petrol/Diesel;5-Speed Manual/4/5-Speed Auto
BMW;7 Series;E38 740i/750i;1994;2001;4-door;RWD;Sedan;4.0L/4.4L V8/5.4L V12;Naturally Aspirated;Petrol;5-Speed Automatic
Range Rover;P38A;HSE;1994;2001;5-door;4WD;SUV;4.0L/4.6L/2.5L;Naturally Aspirated/Turbocharged;Petrol/Diesel;5-Speed Manual/4-Speed Automatic
Maserati;Quattroporte;IV (AM 337);1994;2001;4-door;RWD;Sedan;2.0L/2.8L/3.2L;Twin-Turbocharged;Petrol;5/6-Speed Manual/4-Speed Automatic
